W1JetsToLNu,54106928.000000,11778.363800,41521.000000,7.810000,54106928.000000,54075064.000000,8025702.000000,6774991.000000,91605.000000,57958.113281,57958.113281,57573.652344,55772.882812,40629.828125,1217.842407,901.161987
W2JetsToLNu,6570442.000000,3849.219740,41521.000000,17.047000,6570442.000000,6565649.000000,1030717.000000,892304.000000,20854.000000,12890.226562,12890.226562,12791.104492,12145.346680,8893.763672,1406.614014,1094.955566
W3JetsToLNu,19669692.000000,1166.047870,41521.000000,2.360000,19669692.000000,19651860.000000,3158264.000000,2776244.000000,76845.000000,46559.160156,46558.328125,46197.410156,42811.656250,30458.689453,9175.824219,6801.472168
W4JetsToLNu,11303425.000000,593.055246,41521.000000,2.098000,11303425.000000,11287436.000000,1846813.000000,1640946.000000,49569.000000,28883.607422,28882.777344,28547.828125,25328.283203,17378.304688,7743.534668,5312.832520
WJetsToLNu,33043732.000000,61526.700000,41521.000000,77.311186,33043732.000000,31853712.000000,4056120.000000,3300101.000000,16161.000000,9529.324219,9526.829102,9455.119141,9109.265625,6812.371582,351.866608,301.280396
WJetsToLNu_HT100To200,35737472.000000,1642.584587,41521.000000,1.908410,35737472.000000,35705832.000000,6075775.000000,5453804.000000,30604.000000,19393.888672,19393.888672,19104.177734,17834.626953,12579.433594,4490.326172,3411.922852
WJetsToLNu_HT1200To2500,19991892.000000,1.624266,41521.000000,0.003373,19991892.000000,19349042.000000,3934960.000000,3471539.000000,7040.000000,2961.242188,2959.592041,2880.280518,2274.238037,1481.032227,1096.229980,445.292328
WJetsToLNu_HT200To400,21192212.000000,439.284517,41521.000000,0.860671,21192212.000000,21159894.000000,3854699.000000,3502122.000000,15419.000000,9032.655273,9032.655273,8872.771484,7927.992676,5255.955566,3365.106689,2152.886475
WJetsToLNu_HT2500ToInf,20629584.000000,0.039324,41521.000000,0.000079,20629584.000000,18944672.000000,4023783.000000,3481008.000000,6586.000000,2628.005371,2628.005371,2549.234863,1913.674561,1340.470459,1009.800720,419.885681
WJetsToLNu_HT400To600,13664751.000000,59.731459,41521.000000,0.181497,13664751.000000,13616740.000000,2641312.000000,2397852.000000,7259.000000,3872.962891,3872.962891,3785.690674,3251.019775,2045.155151,1545.545288,783.866638
WJetsToLNu_HT600To800,21582308.000000,14.703880,41521.000000,0.028288,21582308.000000,21431606.000000,4224778.000000,3811541.000000,9699.000000,4778.711426,4777.879395,4658.882812,3898.892578,2399.905762,1825.193237,839.452881
WJetsToLNu_HT800To1200,20272990.000000,6.741314,41521.000000,0.013807,20272990.000000,19998372.000000,3995715.000000,3574523.000000,8008.000000,3664.486084,3663.654053,3549.058105,2873.616211,1865.604126,1393.127686,607.199341
WJetsToLNu_inc,44587448.000000,61526.700000,41521.000000,57.290000,44587448.000000,42986692.000000,5478655.000000,4457734.000000,21703.000000,12838.315430,12838.315430,12724.735352,12297.884766,9217.362305,452.152924,372.801025
WJetsToLNu_inc,33043732.000000,61526.700000,41521.000000,57.290000,33043732.000000,33025976.000000,4258946.000000,3482601.000000,20912.000000,12404.894531,12401.567383,12296.399414,11713.995117,8572.848633,1102.100952,850.638062
WJetsToLNu_inc,44587448.000000,61526.700000,41521.000000,57.290000,44587448.000000,44563376.000000,5751284.000000,4703064.000000,28067.000000,16644.386719,16644.386719,16492.332031,15742.281250,11633.730469,1429.191528,1057.048096
W1JetsToLNu,54106928.000000,11778.363800,41521.000000,7.810000,54106928.000000,54075064.000000,8025702.000000,6774991.000000,91605.000000,57958.113281,57958.113281,57573.652344,55772.882812,40629.828125,1217.842407,901.161987
W2JetsToLNu,6570442.000000,3849.219740,41521.000000,17.047000,6570442.000000,6565649.000000,1030717.000000,892304.000000,20854.000000,12890.226562,12890.226562,12791.104492,12145.346680,8893.763672,1406.614014,1094.955566
W3JetsToLNu,19669692.000000,1166.047870,41521.000000,2.360000,19669692.000000,19651860.000000,3158264.000000,2776244.000000,76845.000000,46559.160156,46558.328125,46197.410156,42811.656250,30458.689453,9175.824219,6801.472168
W4JetsToLNu,11303425.000000,593.055246,41521.000000,2.098000,11303425.000000,11287436.000000,1846813.000000,1640946.000000,49569.000000,28883.607422,28882.777344,28547.828125,25328.283203,17378.304688,7743.534668,5312.832520
WJetsToLNu,33043732.000000,61526.700000,41521.000000,77.311186,33043732.000000,31853712.000000,4056120.000000,3300101.000000,16161.000000,9529.324219,9526.829102,9455.119141,9109.265625,6812.371582,351.866608,301.280396
WJetsToLNu_HT100To200,35737472.000000,1642.584587,41521.000000,1.908410,35737472.000000,35705832.000000,6075775.000000,5453804.000000,30604.000000,19393.888672,19393.888672,19104.177734,17834.626953,12579.433594,4490.326172,3411.922852
WJetsToLNu_HT1200To2500,19991892.000000,1.624266,41521.000000,0.003373,19991892.000000,19349042.000000,3934960.000000,3471539.000000,7040.000000,2961.242188,2959.592041,2880.280518,2274.238037,1481.032227,1096.229980,445.292328
WJetsToLNu_HT200To400,21192212.000000,439.284517,41521.000000,0.860671,21192212.000000,21159894.000000,3854699.000000,3502122.000000,15419.000000,9032.655273,9032.655273,8872.771484,7927.992676,5255.955566,3365.106689,2152.886475
WJetsToLNu_HT2500ToInf,20629584.000000,0.039324,41521.000000,0.000079,20629584.000000,18944672.000000,4023783.000000,3481008.000000,6586.000000,2628.005371,2628.005371,2549.234863,1913.674561,1340.470459,1009.800720,419.885681
WJetsToLNu_HT400To600,13664751.000000,59.731459,41521.000000,0.181497,13664751.000000,13616740.000000,2641312.000000,2397852.000000,7259.000000,3872.962891,3872.962891,3785.690674,3251.019775,2045.155151,1545.545288,783.866638
WJetsToLNu_HT600To800,21582308.000000,14.703880,41521.000000,0.028288,21582308.000000,21431606.000000,4224778.000000,3811541.000000,9699.000000,4778.711426,4777.879395,4658.882812,3898.892578,2399.905762,1825.193237,839.452881
WJetsToLNu_HT800To1200,20272990.000000,6.741314,41521.000000,0.013807,20272990.000000,19998372.000000,3995715.000000,3574523.000000,8008.000000,3664.486084,3663.654053,3549.058105,2873.616211,1865.604126,1393.127686,607.199341
WJetsToLNu_inc,44587448.000000,61526.700000,41521.000000,57.290000,44587448.000000,42986692.000000,5478655.000000,4457734.000000,21703.000000,12838.315430,12838.315430,12724.735352,12297.884766,9217.362305,452.152924,372.801025
WJetsToLNu_inc,33043732.000000,61526.700000,41521.000000,57.290000,33043732.000000,33025976.000000,4258946.000000,3482601.000000,20912.000000,12404.894531,12401.567383,12296.399414,11713.995117,8572.848633,1102.100952,850.638062
WJetsToLNu_inc,44587448.000000,61526.700000,41521.000000,57.290000,44587448.000000,44563376.000000,5751284.000000,4703064.000000,28067.000000,16644.386719,16644.386719,16492.332031,15742.281250,11633.730469,1429.191528,1057.048096
